Name	Type	Subtype	CMC	Power	Toughness	Text	Sets
Dragon's Eye Sentry	Creature	Human Monk	1	1	3	Defender, first strike	DTK
Yeva, Nature's Herald	Creature	Elf Shaman	4	4	4	Flash (You may cast this spell any time you could cast an instant.) You may cast green creature cards as though they had flash.	M13
Rakdos Shred-Freak	Creature	Human Berserker	2	2	1	Haste	RTR
Spiteful Bully	Creature	Zombie Mercenary	2	3	3	At the beginning of your upkeep, Spiteful Bully deals 3 damage to target creature you control.	NMS
Dimir House Guard	Creature	Skeleton	4	2	3	Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) Sacrifice a creature: Regenerate Dimir House Guard. Transmute {1}{B}{B} ({1}{B}{B}, Discard this card: Search your library for a card with the same converted mana cost as this card, reveal it, and put it into your hand. Then shuffle your library. Transmute only as a sorcery.)	RAV
Furnace Scamp	Creature	Beast	1	1	1	Whenever Furnace Scamp deals combat damage to a player, you may sacrifice it. If you do, Furnace Scamp deals 3 damage to that player.	NPH
Unyaro Bees	Creature	Insect	3	0	1	Flying {G}: Unyaro Bees gets +1/+1 until end of turn. {3}{G}, Sacrifice Unyaro Bees: Unyaro Bees deals 2 damage to target creature or player.	TSP
Frenetic Efreet	Creature	Efreet	3	2	1	Flying {0}: Flip a coin. If you win the flip, Frenetic Efreet phases out. If you lose the flip, sacrifice Frenetic Efreet. (While it's phased out, it's treated as though it doesn't exist. It phases in before you untap during your next untap step.)	MIR
Petra Sphinx	Creature	Sphinx	5	3	4	{T}: Target player names a card, then reveals the top card of his or her library. If that card is the named card, that player puts it into his or her hand. If it isn't, the player puts it into his or her graveyard.	LEG CHR MED
Drekavac	Creature	Beast	2	3	3	When Drekavac enters the battlefield, sacrifice it unless you discard a noncreature card.	DIS
Zodiac Tiger	Creature	Cat	4	3	4	Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)	PTK
Spirespine	Enchantment Creature	Beast	3	4	1	Bestow {4}{G} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.) Spirespine blocks each turn if able. Enchanted creature gets +4/+1 and blocks each turn if able.	JOU
Sakura-Tribe Scout	Creature	Snake Shaman Scout	1	1	1	{T}: You may put a land card from your hand onto the battlefield.	SOK
Vigilant Martyr	Creature	Human Cleric	1	1	1	Sacrifice Vigilant Martyr: Regenerate target creature. {W}{W}, {T}, Sacrifice Vigilant Martyr: Counter target spell that targets an enchantment.	MIR
Riptide Crab	Creature	Crab	3	1	3	Vigilance When Riptide Crab dies, draw a card.	INV
Drowner of Secrets	Creature	Merfolk Wizard	3	1	3	Tap an untapped Merfolk you control: Target player puts the top card of his or her library into his or her graveyard.	LRW
Merfolk Traders	Creature	Merfolk	2	1	2	When Merfolk Traders enters the battlefield, draw a card, then discard a card.	WTH
Nulltread Gargantuan	Creature	Beast	3	5	6	When Nulltread Gargantuan enters the battlefield, put a creature you control on top of its owner's library.	ARB
Chapel Geist	Creature	Spirit	3	2	3	Flying	ISD
Scourge of Geier Reach	Creature	Elemental	5	3	3	Scourge of Geier Reach gets +1/+1 for each creature your opponents control.	ISD
Merrow Levitator	Creature	Merfolk Wizard	4	2	3	{T}: Target creature gains flying until end of turn. Whenever you cast a blue spell, you may untap Merrow Levitator.	EVE
Pyre Zombie	Creature	Zombie	3	2	1	At the beginning of your upkeep, if Pyre Zombie is in your graveyard, you may pay {1}{B}{B}. If you do, return Pyre Zombie to your hand. {1}{R}{R}, Sacrifice Pyre Zombie: Pyre Zombie deals 2 damage to target creature or player.	INV
Phantom Tiger	Creature	Cat Spirit	3	1	0	Phantom Tiger enters the battlefield with two +1/+1 counters on it. If damage would be dealt to Phantom Tiger, prevent that damage. Remove a +1/+1 counter from Phantom Tiger.	JUD
Woodland Sleuth	Creature	Human Scout	4	2	3	Morbid — When Woodland Sleuth enters the battlefield, if a creature died this turn, return a creature card at random from your graveyard to your hand.	ISD
Scalding Devil	Creature	Devil	2	1	1	{2}{R}: Scalding Devil deals 1 damage to target player.	AVR
Benalish Heralds	Creature	Human Soldier	4	2	4	{3}{U}, {T}: Draw a card.	INV
Cephalid Sage	Creature	Cephalid	4	2	3	Threshold — As long as seven or more cards are in your graveyard, Cephalid Sage has "When Cephalid Sage enters the battlefield, draw three cards, then discard two cards."	TOR
Fen Stalker	Creature	Nightstalker	4	3	2	Fen Stalker has fear as long as you control no untapped lands. (It can't be blocked except by artifact creatures and/or black creatures.)	PCY
Manaweft Sliver	Creature	Sliver	2	1	1	Sliver creatures you control have "{T}: Add one mana of any color to your mana pool."	M14
Vinelasher Kudzu	Creature	Plant	2	1	1	Whenever a land enters the battlefield under your control, put a +1/+1 counter on Vinelasher Kudzu.	RAV DDM
Havenwood Wurm	Creature	Wurm	7	5	6	Flash (You may cast this spell any time you could cast an instant.) Trample	TSP
Akroan Skyguard	Creature	Human Soldier	2	1	1	Flying Heroic — Whenever you cast a spell that targets Akroan Skyguard, put a +1/+1 counter on Akroan Skyguard.	BNG
Warclamp Mastiff	Creature	Hound	1	1	1	First strike (This creature deals combat damage before creatures without first strike.)	M13
Cackling Imp	Creature	Imp	4	2	2	Flying {T}: Target player loses 1 life.	5DN DDC DD3_DVD
Akoum Hellkite	Creature	Dragon	6	4	4	Flying Landfall — Whenever a land enters the battlefield under your control, Akoum Hellkite deals 1 damage to target creature or player. If that land is a Mountain, Akoum Hellkite deals 2 damage to that creature or player instead.	BFZ
Arctic Wolves	Creature	Wolf	5	4	5	Cumulative upkeep {2} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) When Arctic Wolves enters the battlefield, draw a card.	WTH
Border Patrol	Creature	Human Nomad	5	1	6	Vigilance	JUD
Jace's Phantasm	Creature	Illusion	1	1	1	Flying Jace's Phantasm gets +4/+4 as long as an opponent has ten or more cards in his or her graveyard.	M13 DDM
Scythe Leopard	Creature	Cat	1	1	1	Landfall — Whenever a land enters the battlefield under your control, Scythe Leopard gets +1/+1 until end of turn.	BFZ
Marath, Will of the Wild	Creature	Elemental Beast	3	0	0	Marath, Will of the Wild enters the battlefield with a number of +1/+1 counters on it equal to the amount of mana spent to cast it. {X}, Remove X +1/+1 counters from Marath: Choose one — • Put X +1/+1 counters on target creature. X can't be 0. • Marath deals X damage to target creature or player. X can't be 0. • Put an X/X green Elemental creature token onto the battlefield. X can't be 0.	C13
Hollowhenge Spirit	Creature	Spirit	4	2	2	Flash (You may cast this spell any time you could cast an instant.) Flying When Hollowhenge Spirit enters the battlefield, remove target attacking or blocking creature from combat.	DKA
Zodiac Horse	Creature	Horse	4	3	3	Islandwalk (This creature can't be blocked as long as defending player controls an Island.)	PTK
Metallic Sliver	Artifact Creature	Sliver	1	1	1		TMP H09 TPR
Priests of Norn	Creature	Cleric	3	1	4	Vigilance Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)	MBS
Zhalfirin Commander	Creature	Human Knight	3	2	2	Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) {1}{W}{W}: Target Knight creature gets +1/+1 until end of turn.	MIR TSB DDG
Aquus Steed	Creature	Beast	4	1	3	{2}{U}, {T}: Target creature gets -2/-0 until end of turn.	RTR
Bone Shaman	Creature	Giant Shaman	4	3	3	{B}: Until end of turn, Bone Shaman gains "Creatures dealt damage by Bone Shaman this turn can't be regenerated this turn."	ICE
Lionheart Maverick	Creature	Human Knight	1	1	1	Vigilance {4}{W}: Lionheart Maverick gets +1/+2 until end of turn.	GPT DDG
Bladewing's Thrall	Creature	Zombie	4	3	3	Bladewing's Thrall has flying as long as you control a Dragon. When a Dragon enters the battlefield, you may return Bladewing's Thrall from your graveyard to the battlefield.	SCG
Carnival Hellsteed	Creature	Nightmare Horse	6	5	4	First strike, haste Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)	pPRE RTR
Harbor Serpent	Creature	Serpent	6	5	5	Islandwalk (This creature can't be blocked as long as defending player controls an Island.) Harbor Serpent can't attack unless there are five or more Islands on the battlefield.	M11 M12 M13
Ash Zealot	Creature	Human Warrior	2	2	2	First strike, haste Whenever a player casts a spell from a graveyard, Ash Zealot deals 3 damage to that player.	RTR
Razorgrass Screen	Artifact Creature	Wall	1	2	1	Defender (This creature can't attack.) Razorgrass Screen blocks each turn if able.	5DN
Yeva's Forcemage	Creature	Elf Shaman	3	2	2	When Yeva's Forcemage enters the battlefield, target creature gets +2/+2 until end of turn.	M13 ORI
