% Magic Creature Cards
% UNH/UNG/pHHO Removed
% Source: AllCards-x.json @ mtgjson.com
% 
% Machine Learning Project - Sam Cumings / David Burks
% Set Downloaded 15.10.25

@RELATION CMC

@ATTRIBUTE Id NUMERIC
@ATTRIBUTE cmc NUMERIC
@ATTRIBUTE power NUMERIC
@ATTRIBUTE toughness NUMERIC
@ATTRIBUTE isRed NUMERIC
@ATTRIBUTE isBlue NUMERIC
@ATTRIBUTE isGreen NUMERIC
@ATTRIBUTE isBlack NUMERIC
@ATTRIBUTE isWhite NUMERIC
@ATTRIBUTE isColorless NUMERIC
@ATTRIBUTE isVanilla NUMERIC
@ATTRIBUTE isFlying NUMERIC
@ATTRIBUTE isTrample NUMERIC
@ATTRIBUTE isMorph NUMERIC
@ATTRIBUTE isHaste NUMERIC
@ATTRIBUTE isStrike NUMERIC
@DATA
1,7,5,7,0,0,1,0,1,0,0,0,0,0,0,0
2,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0
3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
4,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0
5,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0
6,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0
7,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0
8,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0
9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,7,5,5,0,1,0,0,0,0,0,1,0,0,0,0
11,3,3,2,1,0,0,0,1,0,0,0,0,0,0,1
12,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0
13,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1
14,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
15,3,2,2,0,0,0,0,1,0,0,0,0,0,0,1
16,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0
17,8,8,8,0,0,0,0,0,1,0,0,0,0,0,0
18,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
19,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0
20,4,2,2,0,0,1,0,1,0,0,0,0,0,0,0
21,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0
22,6,6,4,0,0,1,0,0,0,1,0,0,0,0,0
23,4,3,3,1,0,1,1,0,0,0,0,0,0,0,0
24,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0
25,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0
26,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
27,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
28,5,2,5,0,1,0,0,0,0,1,0,0,0,0,0
29,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
30,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0
31,5,2,5,0,0,0,0,1,0,0,0,0,0,0,0
32,5,4,4,0,0,1,0,0,0,0,0,0,0,0,0
33,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
34,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
35,7,5,5,0,0,1,0,0,0,0,0,0,0,0,0
36,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0
38,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0
39,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0
40,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0
41,6,3,1,1,0,0,1,0,0,0,0,0,0,0,1
42,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
43,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0
44,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0
45,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
46,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0
47,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
48,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0
49,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0
50,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
51,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0
52,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0
53,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
54,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0
55,3,3,3,0,0,1,0,0,0,1,0,0,0,0,0
56,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0
57,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0
58,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0
59,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0
