Name	Type	Subtype	CMC	Colors	Power	Toughness	Text	Sets
Emmara Tandris	['Creature']	['Elf', 'Shaman']	7	['White', 'Green']	5	7	Prevent all damage that would be dealt to creature tokens you control.	['DGM']
Oona's Gatewarden	['Creature']	['Faerie', 'Soldier']	1	['Blue', 'Black']	2	1	Defender, flying Wither (This deals damage to creatures in the form of -1/-1 counters.)	['SHM']
Perilous Myr	['Artifact', 'Creature']	['Myr']	2	colorless	1	1	When Perilous Myr dies, it deals 2 damage to target creature or player.	['SOM']
Phyrexian Prowler	['Creature']	['Zombie', 'Mercenary']	4	['Black']	3	3	Fading 3 (This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.) Remove a fade counter from Phyrexian Prowler: Phyrexian Prowler gets +1/+1 until end of turn.	['NMS']
Gliding Licid	['Creature']	['Licid']	3	['Blue']	2	2	{U}, {T}: Gliding Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {U} to end this effect. Enchanted creature has flying.	['STH']
Zombie Master	['Creature']	['Zombie']	3	['Black']	2	3	Other Zombie creatures have swampwalk. (They can't be blocked as long as defending player controls a Swamp.) Other Zombies have "{B}: Regenerate this permanent."	['LEA', 'LEB', '2ED', 'CED', 'CEI', '3ED', '4ED', '5ED', '6ED', 'ME4']
Rushwood Herbalist	['Creature']	['Human', 'Spellshaper']	3	['Green']	2	2	{G}, {T}, Discard a card: Regenerate target creature.	['MMQ']
Auriok Champion	['Creature']	['Human', 'Cleric']	2	['White']	1	1	Protection from black and from red Whenever another creature enters the battlefield, you may gain 1 life.	['5DN']
Crusader of Odric	['Creature']	['Human', 'Soldier']	3	['White']	0	0	Crusader of Odric's power and toughness are each equal to the number of creatures you control.	['M13']
Blizzard Elemental	['Creature']	['Elemental']	7	['Blue']	5	5	Flying {3}{U}: Untap Blizzard Elemental.	['UDS', 'BTD']
Anax and Cymede	['Creature']	['Human', 'Soldier']	3	['White', 'Red']	3	2	First strike, vigilance Heroic — Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.	['DDL', 'THS']
Sprinting Warbrute	['Creature']	['Ogre', 'Berserker']	5	['Red']	5	4	Sprinting Warbrute attacks each turn if able. Dash {3}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)	['DTK']
Blood Knight	['Creature']	['Human', 'Knight']	2	['Red']	2	2	First strike, protection from white	['pCMP', 'PLC']
Champion of Lambholt	['Creature']	['Human', 'Warrior']	3	['Green']	1	1	Creatures with power less than Champion of Lambholt's power can't block creatures you control. Whenever another creature enters the battlefield under your control, put a +1/+1 counter on Champion of Lambholt.	['AVR']
Archetype of Courage	['Enchantment', 'Creature']	['Human', 'Soldier']	3	['White']	2	2	Creatures you control have first strike. Creatures your opponents control lose first strike and can't have or gain first strike.	['BNG']
